bioclimatic_zone,structure,category,physiography_limit,code,map_class,target,macrogroup_code,macrogroup,group_code,group
1. Temperate,coniferous tree,mesic vegetation,none,1,Alaska Pacific Silver Fir (-Western Hemlock) Forest Mesic,group,M024,North Pacific Coastal Rainforest,G241,Coastal Silver Fir - Western Hemlock Rainforest
1. Temperate,deciduous tree,mesic vegetation,none,2,Alaska Pacific Birch Forest Mesic,subgroup,M024,North Pacific Coastal Rainforest,G750,Coastal Alaskan Western Hemlock - Sitka Spruce Rainforest
1. Temperate,mixed tree,mesic vegetation,none,3,Alaska Pacific Sitka Spruce - Cottonwood Forest Mesic,subgroup,M024,North Pacific Coastal Rainforest,G750,Coastal Alaskan Western Hemlock - Sitka Spruce Rainforest
1. Temperate,coniferous tree,mesic vegetation,none,4,Alaska Pacific Sitka Spruce Forest Mesic,subgroup,M024,North Pacific Coastal Rainforest,G750,Coastal Alaskan Western Hemlock - Sitka Spruce Rainforest
1. Temperate,coniferous tree,mesic vegetation,none,5,Alaska Pacific Western Hemlock (-Sitka Spruce) Forest Mesic,subgroup,M024,North Pacific Coastal Rainforest,G750,Coastal Alaskan Western Hemlock - Sitka Spruce Rainforest
1. Temperate,coniferous tree,mesic vegetation,none,6,Alaska Pacific Western Redcedar (-Western Hemlock) Forest Mesic,subgroup,M024,North Pacific Coastal Rainforest,G750,Coastal Alaskan Western Hemlock - Sitka Spruce Rainforest
1. Temperate,coniferous tree,mesic vegetation,none,7,Alaska Pacific Yellow Cedar (-Western Hemlock) Forest Mesic,subgroup,M024,North Pacific Coastal Rainforest,G750,Coastal Alaskan Western Hemlock - Sitka Spruce Rainforest
1. Temperate,coniferous tree,mesic vegetation,none,8,North Pacific Sitka Spruce Forest Mesic,subgroup,M024,North Pacific Coastal Rainforest,G751,Coastal Western Hemlock - Sitka Spruce Rainforest
1. Temperate,coniferous tree,mesic vegetation,none,9,North Pacific Western Hemlock (-Sitka Spruce) Forest Mesic,subgroup,M024,North Pacific Coastal Rainforest,G751,Coastal Western Hemlock - Sitka Spruce Rainforest
1. Temperate,coniferous tree,mesic vegetation,none,10,North Pacific Western Redcedar (-Western Hemlock) Forest Mesic,subgroup,M024,North Pacific Coastal Rainforest,G751,Coastal Western Hemlock - Sitka Spruce Rainforest
1. Temperate,coniferous tree,mesic vegetation,none,11,Alaska Pacific Mountain Hemlock - Sitka/Lutz Spruce Forest Mesic,alliance,M025,Vancouverian Subalpine-High Montane Forest,G850,Alaskan Mountain Hemlock Forest
1. Temperate,coniferous tree,mesic vegetation,none,12,Alaska Pacific Mountain Hemlock Forest Mesic,alliance,M025,Vancouverian Subalpine-High Montane Forest,G850,Alaskan Mountain Hemlock Forest
